시군구,동반자유형,만족도,재방문의도,타인추천의도,성별,연령대,평점,법정동코드
강원특별자치도 삼척시,가족,5,4,4,F,1,5.266666667,42230
경기도 용인시,비가족,5,4,4,F,1,5.266666667,41460
제주특별자치도 제주시,가족,4,4,4,F,1,4.933333333,50110
인천광역시 중구,비가족,4,4,4,F,1,4.933333333,28110
경기도 화성시,비가족,5,4,4,F,1,5.266666667,41590
경기도 고양시,비가족,4,4,4,F,1,4.933333333,41280
경기도 양평군,가족,4,4,4,F,1,4.933333333,41830
강원특별자치도 홍천군,가족,4,3,4,M,1,4.533333333,42720
경기도 양평군,가족,4,4,4,F,1,4.933333333,41830
충청남도 서천군,가족,4,4,4,M,1,4.933333333,44770
전라북도 전주시,비가족,5,5,4,F,1,5.666666667,45110
경기도 과천시,비가족,4,4,4,F,1,4.933333333,41290
강원특별자치도 영월군,가족,4,4,4,M,1,4.933333333,42750
인천광역시 강화군,가족,5,4,4,M,1,5.266666667,28710
경상북도 경주시,가족,5,5,4,F,1,5.666666667,47130
제주특별자치도 제주시,비가족,5,5,4,F,1,5.666666667,50110
강원특별자치도 양구군,가족,4,4,4,M,1,4.933333333,42800
경기도 용인시,비가족,4,5,4,F,1,5.333333333,41460
강원특별자치도 속초시,가족,4,4,4,F,1,4.933333333,42210
강원특별자치도 춘천시,가족,4,4,4,M,1,4.933333333,42110
경기도 과천시,비가족,4,4,4,F,1,4.933333333,41290
인천광역시 연수구,비가족,4,4,3,F,1,4.433333333,28185
경기도 용인시,비가족,4,4,4,M,1,4.933333333,41460
경기도 남양주시,비가족,4,4,4,F,1,4.933333333,41360
경상남도 거제시,가족,4,4,4,F,1,4.933333333,48310
제주특별자치도 제주시,가족,4,4,4,F,1,4.933333333,50110
대전광역시 유성구,가족,4,4,4,F,1,4.933333333,30200
경기도 가평군,비가족,4,4,4,M,1,4.933333333,41820
인천광역시 서구,비가족,3,3,4,F,1,4.2,28260
경기도 고양시,비가족,4,4,4,M,1,4.933333333,41280
경기도 양주시,비가족,4,4,4,F,1,4.933333333,41630
충청북도 단양군,가족,4,4,4,M,1,4.933333333,43800
전라남도 여수시,가족,5,4,4,M,1,5.266666667,46130
인천광역시 중구,비가족,5,4,4,M,1,5.266666667,28110
강원특별자치도 홍천군,비가족,5,4,5,F,1,5.766666667,42720
경기도 김포시,가족,4,4,4,M,1,4.933333333,41570
경기도 광명시,비가족,4,4,4,F,1,4.933333333,41210
인천광역시 중구,비가족,4,4,4,F,1,4.933333333,28110
부산광역시 수영구,비가족,5,4,4,M,1,5.266666667,26500
충청남도 서산시,가족,4,4,4,M,1,4.933333333,44210
경기도 파주시,가족,4,4,3,M,1,4.433333333,41480
충청남도 태안군,가족,4,4,4,F,1,4.933333333,44825
전라남도 여수시,비가족,4,4,4,M,1,4.933333333,46130
부산광역시 해운대구,가족,4,4,4,M,1,4.933333333,26350
강원특별자치도 원주시,가족,4,4,4,F,1,4.933333333,42130
경기도 용인시,비가족,5,4,4,M,1,5.266666667,41460
제주특별자치도 서귀포시,가족,5,5,4,M,1,5.666666667,50130
경기도 가평군,비가족,4,3,4,F,1,4.533333333,41820
경기도 용인시,비가족,4,4,4,F,1,4.933333333,41460
경기도 용인시,비가족,4,4,4,F,1,4.933333333,41460
강원특별자치도 홍천군,가족,4,4,4,M,1,4.933333333,42720
강원특별자치도 평창군,비가족,4,4,4,M,1,4.933333333,42760
강원특별자치도 평창군,비가족,4,4,4,M,1,4.933333333,42760
강원특별자치도 철원군,가족,4,5,4,M,1,5.333333333,42780
경기도 용인시,가족,4,4,4,M,1,4.933333333,41460
전라남도 여수시,비가족,4,4,4,F,1,4.933333333,46130
제주특별자치도 제주시,가족,4,4,4,M,1,4.933333333,50110
경기도 하남시,비가족,5,4,4,F,1,5.266666667,41450
강원특별자치도 삼척시,가족,4,4,4,F,1,4.933333333,42230
강원특별자치도 평창군,가족,4,4,4,F,1,4.933333333,42760
경기도 과천시,비가족,4,4,4,F,1,4.933333333,41290
전라북도 군산시,가족,4,4,4,M,1,4.933333333,45130
경기도 양평군,가족,4,4,4,M,1,4.933333333,41830
강원특별자치도 강릉시,가족,4,4,4,M,1,4.933333333,42150
제주특별자치도 제주시,가족,4,4,4,M,1,4.933333333,50110
경상남도 거제시,비가족,4,3,3,M,1,4.033333333,48310
