시도+시군구,시군구코드,긍정키워드,부정키워드,키워드맵,여행지1,여행지2,여행지3
서울특별시 종로구,11110,"좋다,다양하다,추천,즐기다,데이트","불만족,욕설,애처롭다,끔찍하다,폭력",/static/images/11110.jpg,경복궁,동대문종합시장,국립현대미술관
서울특별시 중구,11140,"좋다,다양하다,추천,즐기다,맛있다","실망,분격,앞잡이,허전하다,삭막하다",/static/images/11140.jpg,덕수궁,롯데백화점,동대문디자인플라자
서울특별시 용산구,11170,"좋다,추천,즐기다,맛있다,다양하다","힘겹다,실망,먼지,지다,포기",/static/images/11170.jpg,국립중앙박물관,전쟁기념관,남산서울타워
서울특별시 성동구,11200,"좋다,다양하다,즐기다,추천,예쁘다","유죄,실망,걱정스럽다,불길하다,밋밋하다",/static/images/11200.jpg,서울숲,성수동 카페거리,성수아트홀
서울특별시 광진구,11215,"좋다,다양하다,추천,즐기다,맛있다","시시하다,몸살,걱정,망설이다,앓다",/static/images/11215.jpg,어린이대공원,뚝섬한강공원,워커힐숲길
서울특별시 동대문구,11230,"좋다,다양하다,추천,맛있다,즐기다","부진,흐려지다,끔찍하다,실망,거짓말",/static/images/11230.jpg,경동시장,서울 풍물시장,서울 약령시장
서울특별시 중랑구,11260,"좋다,추천,다양하다,즐기다,맛있다","게으름,불만족,주춤,고달프다,나빠지다",/static/images/11260.jpg,우림시장,용마폭포공원,중랑숲캠핑장
서울특별시 성북구,11290,"좋다,다양하다,추천,즐기다,아름답다","아쉬움,불편,낡다,오래되다,부족하다",/static/images/11290.jpg,길상사,북정마을,한국가구박물관
서울특별시 강북구,11305,"좋다,추천,다양하다,즐기다,맛있다","무의미하다,교묘하다,아픔,아쉬움,허전하다",/static/images/11305.jpg,수유시장,도선사,상상톡톡 미술관
서울특별시 도봉구,11320,"좋다,다양하다,추천,즐기다,맛있다","악순환,절망,초라하다,흉물,실망하다",/static/images/11320.jpg,신창시장,둘리뮤지엄,원당샘공원
서울특별시 노원구,11350,"좋다,좋아하다,즐기다,다양하다,맛있다","아득하다,비싸다,막히다,함부로,범죄",/static/images/11350.jpg,서울생활사박물관,수락산,피노파밀리아
서울특별시 은평구,11380,"좋다,추천,다양하다,즐기다,맛있다","불량하다,초라하다,함부로,어둡다,두렵다",/static/images/11380.jpg,사비나미술관,은평한옥마을,대림시장
서울특별시 서대문구,11410,"좋다,다양하다,여유,미소,개선","비추천,실망하다,부족하다,삭막하다,시끄럽다",/static/images/11410.jpg,포방터시장,독립문,서대문자연사박물관
서울특별시 마포구,11440,"좋다,추천,다양하다,즐기다,맛있다","속이다,벼르다,섭섭하다,추하다,아득하다",/static/images/11440.jpg,서울월드컵경기장,망원한강공원,망원시장
서울특별시 양천구,11470,"좋다,다양하다,즐기다,추천,맛있다","해치다,험하다,태우다,실망하다,뒤틀리다",/static/images/11470.jpg,목동야구장,파리공원,생명과학박물관
서울특별시 강서구,11500,"좋다,추천,다양하다,즐기다,맛있다","시시하다,몸살,앓다,덥다,먼지",/static/images/11500.jpg,서울식물원,국립항공박물관,강서농산물도매시장
서울특별시 구로구,11530,"좋다,다양하다,맛있다,추천,좋아하다","고약하다,가련하다,모략,남용,딱하다",/static/images/11530.jpg,고척스카이돔,푸른수목원,가리봉시장
서울특별시 금천구,11545,"좋다,즐기다,맛있다,추천,다양하다","아쉬움,불합리,구토,부담,흉물",/static/images/11545.jpg,독산동우시장,별빛남문시장,호암산성
서울특별시 영등포구,11560,"좋다,추천,즐기다,다양하다,맛있다","불만족,태우다,교만하다,깨뜨리다,원망하다",/static/images/11560.jpg,타임스퀘어,여의도한강공원,대림동 차이나타운
서울특별시 동작구,11590,"좋다,추천,다양하다,맛있다,즐기다","어수선하다,나태하다,수척하다,허전하다,탁하다",/static/images/11590.jpg,보라매공원,성대전통시장,달마사
서울특별시 관악구,11620,"좋다,다양하다,추천,즐기다,맛있다","불합리,부담,범죄,의심,어수선하다",/static/images/11620.jpg,현대시장,낙성대공원,관악산
서울특별시 서초구,11650,"좋다,즐기다,다양하다,추천,맛있다","어수선하다,사납다,창피하다,비꼬다,교만하다",/static/images/11650.jpg,예술의전당,반포한강공원,몽마르뜨공원
서울특별시 강남구,11680,"좋다,추천,다양하다,즐기다,맛있다","울음,신경증,놓치다,강탈,교만하다",/static/images/11680.jpg,코엑스,가로수길,봉은사
서울특별시 송파구,11710,"좋다,다양하다,즐기다,추천,맛있다","버럭,불안하다,신물,위법,시끄럽다",/static/images/11710.jpg,올핌픽공원,서울 몽촌토성,잠실야구장
서울특별시 강동구,11740,"좋다,추천,다양하다,즐기다,좋아하다","왕따,흐트러져,결석,침침하다,다치다",/static/images/11740.jpg,천호공원,암사종합시장,강동아트센터
부산광역시 중구,26110,"좋다,다양하다,즐기다,추천,유명하다","오래되다,버리다,낡다,밉다,자리다",/static/images/26110.jpg,용두산공원,국제시장,자갈치시장
부산광역시 서구,26140,"좋다,다양하다,즐기다,추천,예쁘다","재앙,밉다,역경,고집,포기",/static/images/26140.jpg,송도해수욕장,암남공원,송도 구름산책로
부산광역시 동구,26170,"좋다,추천,다양하다,즐기다,유명하다","무겁다,대들다,심하다,아프다,멍청이",/static/images/26170.jpg,부산진시장,부산과학체험관,초량 이바구길
부산광역시 영도구,26200,"좋다,추천,즐기다,다양하다,유명하다","몹쓸,주저앉다,좌절,막히다,무리하다",/static/images/26200.jpg,태종대,국립해양박물관,남향시장
부산광역시 부산진구,26230,"좋다,추천,다양하다,즐기다,좋아하다","낯설다,재앙,심하다,버리다,고충",/static/images/26230.jpg,부산시민공원,부전시장,백양산
부산광역시 동래구,26260,"좋다,다양하다,즐기다,추천,유명하다","재앙,힘들다,공포,버리다,밉다",/static/images/26260.jpg,사직야구장,동래시장,충렬사
부산광역시 남구,26290,"좋다,추천,다양하다,즐기다,유명하다","밉다,급하다,막히다,싫증,못난이",/static/images/26290.jpg,이기대수변공원,부산박물관,평화공원
부산광역시 북구,26320,"좋다,추천,다양하다,즐기다,맛있다","걱정,어렵다,버리다,어려움,덥다",/static/images/26320.jpg,화명생태공원,기후변화체험관,구포시장
부산광역시 해운대구,26350,"좋다,추천,즐기다,다양하다,유명하다","밉다,덥다,아쉽다,막히다,아쉽다",/static/images/26350.jpg,해운대해수욕장,청사포,영화의전당
부산광역시 사하구,26380,"좋다,즐기다,다양하다,추천,유명하다","재앙,불편,막히다,무능하다,내쫓다",/static/images/26380.jpg,다대포해수욕장,감천문화마을,감천항
부산광역시 금정구,26410,"좋다,다양하다,추천,즐기다,유명하다","안습,흑역사,버리다,막히다,재앙",/static/images/26410.jpg,범어사,부곡시장,회동수원지
부산광역시 강서구,26440,"좋다,추천,다양하다,즐기다,맛있다","힘들다,짧다,버리다,덥다,보채다",/static/images/26440.jpg,부산신항,강서체육공원,가덕도
